Processando o arquivo: c:\Users\Rafael Carvalheira\Documents\api_vrp_javav2\codigo_julia_exato\input\vrps_5L.dat
status= OPTIMAL
ID = 5
Numero de clientes = 24
OF (custo) = 183.82
Best Objective = 183.82
Best Bound = 183.81999999999903
GAP = 0.0%
x[1, 18, A] = 1.0
x[2, 22, A] = 1.0
x[3, A, A] = 1.0
x[5, 11, A] = 1.0
x[9, 20, A] = 1.0
x[10, 1, A] = 1.0
x[11, 21, A] = 1.0
x[13, 9, A] = 1.0
x[15, A, A] = 1.0
x[16, 10, A] = 1.0
x[17, 3, A] = 1.0
x[18, 17, A] = 1.0
x[20, 16, A] = 1.0
x[21, 15, A] = 1.0
x[22, 5, A] = 1.0
x[24, 2, A] = 1.0
x[A, 13, A] = 1.0
x[A, 24, A] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[3, A, A] = 1.0
z[5, A, A] = 1.0
z[9, A, A] = 1.0
z[10, A, A] = 1.0
z[11, A, A] = 1.0
z[13, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[17, A, A] = 1.0
z[18, A, A] = 1.0
z[20, A, A] = 1.0
z[21, A, A] = 1.0
z[22, A, A] = 1.0
z[24, A, A] = 1.0
l[20, 16, A, 18] = 6.0
l[21, 15, A, 15] = 4.0
l[22, 5, A, 5] = 13.0
l[22, 5, A, 11] = 12.0
l[22, 5, A, 15] = 4.0
l[22, 5, A, 21] = 11.0
l[24, 2, A, 2] = 7.0
l[24, 2, A, 5] = 13.0
l[24, 2, A, 11] = 12.0
l[24, 2, A, 15] = 4.0
l[24, 2, A, 21] = 11.0
l[24, 2, A, 22] = 9.0
l[A, 13, A, 1] = 5.0
l[A, 13, A, 3] = 7.0
l[A, 13, A, 9] = 8.0
l[A, 13, A, 10] = 16.0
l[A, 13, A, 13] = 23.0
l[A, 13, A, 16] = 19.0
l[A, 13, A, 17] = 1.0
l[A, 13, A, 18] = 6.0
l[A, 13, A, 20] = 9.0
l[A, 24, A, 2] = 7.0
l[A, 24, A, 5] = 13.0
l[A, 24, A, 11] = 12.0
l[A, 24, A, 15] = 4.0
l[A, 24, A, 21] = 11.0
l[A, 24, A, 22] = 9.0
l[A, 24, A, 24] = 29.0
m[1, 18, A, 1] = 8.0
m[1, 18, A, 9] = 4.0
m[1, 18, A, 10] = 8.0
m[1, 18, A, 13] = 16.0
m[1, 18, A, 16] = 10.0
m[1, 18, A, 20] = 18.0
m[2, 22, A, 2] = 13.0
m[2, 22, A, 24] = 16.0
m[3, A, A, 1] = 8.0
m[3, A, A, 3] = 13.0
m[3, A, A, 9] = 4.0
m[3, A, A, 10] = 8.0
m[3, A, A, 13] = 16.0
m[3, A, A, 16] = 10.0
m[3, A, A, 17] = 6.0
m[3, A, A, 18] = 5.0
m[3, A, A, 20] = 18.0
m[5, 11, A, 2] = 13.0
m[5, 11, A, 5] = 6.0
m[5, 11, A, 22] = 16.0
m[5, 11, A, 24] = 16.0
m[9, 20, A, 9] = 4.0
m[9, 20, A, 13] = 16.0
m[10, 1, A, 9] = 4.0
m[10, 1, A, 10] = 8.0
m[10, 1, A, 13] = 16.0
m[10, 1, A, 16] = 10.0
m[10, 1, A, 20] = 18.0
m[11, 21, A, 2] = 13.0
m[11, 21, A, 5] = 6.0
m[11, 21, A, 11] = 12.0
m[11, 21, A, 22] = 16.0
m[11, 21, A, 24] = 16.0
m[13, 9, A, 13] = 16.0
m[15, A, A, 2] = 13.0
m[15, A, A, 5] = 6.0
m[15, A, A, 11] = 12.0
m[15, A, A, 15] = 18.0
m[15, A, A, 21] = 10.0
m[15, A, A, 22] = 16.0
m[15, A, A, 24] = 16.0
m[16, 10, A, 9] = 4.0
m[16, 10, A, 13] = 16.0
m[16, 10, A, 16] = 10.0
m[16, 10, A, 20] = 18.0
m[17, 3, A, 1] = 8.0
m[17, 3, A, 9] = 4.0
m[17, 3, A, 10] = 8.0
m[17, 3, A, 13] = 16.0
m[17, 3, A, 16] = 10.0
m[17, 3, A, 17] = 6.0
m[17, 3, A, 18] = 5.0
m[17, 3, A, 20] = 18.0
m[18, 17, A, 1] = 8.0
m[18, 17, A, 9] = 4.0
m[18, 17, A, 10] = 8.0
m[18, 17, A, 13] = 16.0
m[18, 17, A, 16] = 10.0
m[18, 17, A, 18] = 5.0
m[18, 17, A, 20] = 18.0
m[20, 16, A, 9] = 4.0
m[20, 16, A, 13] = 16.0
m[20, 16, A, 20] = 18.0
m[21, 15, A, 2] = 13.0
m[21, 15, A, 5] = 6.0
m[21, 15, A, 11] = 12.0
m[21, 15, A, 21] = 10.0
m[21, 15, A, 22] = 16.0
m[21, 15, A, 24] = 16.0
m[22, 5, A, 2] = 13.0
m[22, 5, A, 22] = 16.0
m[22, 5, A, 24] = 16.0
m[24, 2, A, 24] = 16.0
Tempo de execução: 28.9206402 segundos
